"","student_id","views","pv_op","cv","cv_compare","confound","internal","interpret","external","replication"
"1",920029789,3,10,10,10,10,10,10,10,10
"2",918802303,0,8.5,6.5,10,2,6,5,10,7
"3",921185745,2,9,10,2,10,10,10,5,10
"4",919426270,1,7,10,7,10,10,10,10,10
"5",919927643,0,10,3.75,10,10,10,5,10,10
"6",919573149,0,7,2.5,6,7,3,10,10,2
"7",920475430,4,9,10,10,10,10,10,10,8
"8",920529409,2,8,7.75,5,2,10,4,8,9
"9",918176974,0,10,7.5,8,10,10,10,8,10
"10",921504261,0,8,8.5,10,9,10,7.5,7,8
"11",921341848,0,10,4,10,2,9,5,10,7.5
"12",920505782,1,10,10,8,10,4,10,10,10
"13",919859520,1,10,6.5,5,2,7,5,0,10
"14",918614520,1,9,10,8.5,10,10,10,10,9
"15",920887442,0,10,10,10,10,10,7.5,10,10
"16",917214277,0,8,10,10,6,9,10,7,10
"17",920829963,0,9,0,6,2,7,5,10,3.5
"18",917362242,1,9,10,8.5,10,10,0,10,10
"19",918722483,3,9,10,5,2,10,0,7,3
"20",920140493,1,8.5,0,4.75,2,8,5,7,8
"21",918525347,1,10,0,5,2,10,5,9,3
"22",919832301,0,9,9,8.5,10,10,10,10,10
"23",918523200,0,7,0,5,2,5.5,10,0,0
"24",918638108,0,9.5,7.5,5,2,10,0,10,2.5
"25",921328243,1,10,9,10,10,10,7.5,10,10
"26",918888411,1,10,10,8.5,10,4,10,10,10
"27",919530917,1,6,7,5,2,3,5,2,0
"28",919329539,0,8,7,10,10,9,5,10,10
"29",918090131,0,9,0,8.5,2,9,5,5,10
"30",921438764,0,9,5.75,8.5,10,8,10,9,10
"31",919151655,0,8.5,5.5,7.5,2,8,5,1,8
"32",917441354,0,9,2,5,2,8,7.5,10,10
"33",921437600,3,9.5,6,5,2,4,5,6,2
"34",918166667,1,10,10,10,10,10,7.5,8,10
"35",918552365,4,10,4.25,8.5,10,4,6.5,7,10
"36",919651809,0,9,6.5,5,10,8,0,1,3
"37",919396643,2,9,10,10,9,10,10,10,10
"38",918631383,0,9,10,10,2,10,7.5,10,7
"39",918552103,1,10,10,10,10,10,7.5,10,8
"40",921066877,1,9,10,7.75,10,8,5,10,10
"41",920803785,0,9,10,5,2,10,10,10,10
"42",919986082,1,10,10,8.5,9,10,10,10,9
"43",920751552,1,8,8,5,10,10,9,10,9
"44",919860519,1,9,10,8.5,2,6.5,10,8,10
"45",920577927,0,9,10,10,10,8,10,10,10
"46",921165862,3,9.5,4.5,8.5,2,10,7.5,8,10
"47",919598360,1,8,10,8.5,10,10,10,10,10
"48",919796366,1,8,0,8,2,4,0,10,9
"49",919520846,2,9,9,5,10,10,10,9,10
"50",918216504,3,10,10,10,10,10,2.5,10,10
"51",920522338,1,10,6,8.5,1,10,7.5,10,10
"52",921395182,3,8,0,7.5,2,4,0,8,10
"53",919380662,0,9,7,8.5,2,10,5,10,5
"54",919705946,5,9,2,8.5,10,10,10,10,10
"55",919787061,1,10,8.5,10,2,10,7.5,10,10
"56",917288643,0,8,5.75,4.25,10,10,5,10,10
"57",920641471,4,9,10,6,10,10,10,10,10
"58",919525951,1,10,8.5,5,10,6,7.5,6,10
"59",919596375,1,9,0,7,2,1,5,10,9
"60",921485830,0,10,8,5,2,10,0,10,10
"61",920649075,0,4,6,5,2,3,9,10,10
"62",920914441,1,10,4.75,5,10,9,6.5,9,10
"63",921361527,0,10,10,10,10,10,2.5,10,10
"64",919770609,1,9,3.75,7.5,2,7,5,10,10
"65",919380086,0,9,0,3.5,2,10,0,8,10
"66",919809499,0,10,10,8.5,10,10,10,10,10
"67",919942877,0,9,10,10,10,5,7.5,10,8
"68",918583017,0,9,7.5,7.5,10,10,10,10,10
"69",919211304,1,10,8,10,2,8,7.5,10,10
"70",919578937,1,8.5,8.5,3.5,10,10,7.5,10,10
"71",920766615,1,10,9,10,7,10,10,10,10
"72",921072832,1,10,9,8.5,2,10,5,10,10
"73",919278033,0,9,9.5,6,10,4,5,10,10
"74",918281005,1,10,10,5,10,10,7.5,10,10
"75",919490633,2,10,10,10,10,10,10,10,10
"76",919230013,2,10,9.5,8.5,10,10,10,10,9
"77",918203290,1,10,10,8.5,10,9,5,10,10
"78",920677034,0,9,8.5,5,2,10,2.5,10,10
"79",918817275,1,9,10,10,2,6,7.5,10,10
"80",921157935,0,9,0,6,2,4,0,10,7
"81",920073243,0,9,0,6,3,9,7.5,10,4.5
"82",919739116,2,8,0,7.5,10,9,7.5,0,7
"83",919976364,4,8.5,3.25,6,10,9,5,10,10
"84",920890235,2,10,10,10,10,10,10,10,10
"85",918187756,0,8.5,6,10,10,8,5,10,10
"86",917076978,0,9,9,8.5,7,0,7.5,10,10
"87",920545603,2,9,9,6,2,4,2.5,10,6
"88",918530662,1,10,10,5.25,10,8,9,7,10
"89",919812237,0,10,8,10,2,10,7.5,8,7
"90",919359509,0,10,3.25,5,2,3,0,10,3
"91",920639205,1,10,0,8.5,10,7,5,10,3
"92",919791426,1,9.5,0,5,2,10,7.5,10,9
"93",920727285,0,10,6.5,10,10,10,7.5,10,10
"94",919358047,3,10,7,4,2,9,5,4,8
"95",921138679,0,10,6.5,5.5,10,10,10,10,10
"96",921341534,0,9,0,3.25,2,10,5,10,10
"97",919245338,2,10,6.5,5,10,10,5,10,10
"98",919794151,0,10,5.5,4.25,2,4,5,10,10
"99",921220846,0,9,10,5,10,10,10,10,10
"100",919971291,0,10,10,10,9,10,2.5,10,10
"101",918453477,0,9,9,8.5,10,10,7.5,10,10
"102",919914232,0,9.5,6.5,8.5,2,10,2.5,10,9
"103",920916630,1,9,4.75,5,10,4,2.5,10,10
"104",919173934,0,9,10,10,10,10,10,9,10
"105",919385463,0,10,10,5,2,10,7.5,10,8
"106",919254565,1,1,0,5,2,3,10,10,10
"107",920656424,2,9,10,10,2,10,7.5,10,10
"108",915836301,1,10,9,8.5,10,9,10,10,10
"109",920489617,1,10,9,3.5,2,4,6.5,10,10
"110",918682112,2,9,8.5,5,10,7,10,10,10
"111",919881239,2,9,5,10,2,10,2.5,5,9
"112",920482533,0,9,7.5,6,2,0,5,10,7
"113",919684805,1,10,6.5,4,10,7,5,2,10
"114",919667178,1,10,9,7,2,9,0,10,10
"115",916748430,0,10,9,4.25,10,10,7.5,9,10
"116",920179147,1,10,9,4,2,10,7.5,10,4
"117",921180177,2,10,10,5,2,4,7.5,10,10
"118",918193928,0,8,0,7.25,6,10,0,10,10
"119",916063005,0,8,6.5,8.5,4,4,5,10,10
"120",918803315,0,7,4.5,7,5,6,5,10,8
"121",921393838,3,9,6.5,10,6.5,6,5,10,10
"122",919542934,1,10,9.5,8,4,10,5,10,10
"123",918436504,0,7,10,8.5,6.5,6,5,10,9
"124",918166353,0,7,6.5,10,10,10,10,10,5
"125",920035003,1,10,9.25,5,8,6,7.5,10,9
"126",919337563,1,7.5,7.75,7.5,8,10,0,10,10
"127",919725418,0,9.5,6,10,10,6,7.5,10,10
"128",921125860,0,10,8,6.75,8,6,5,10,10
"129",920462197,0,10,8,10,10,10,2.5,10,10
"130",920495805,0,8,5.5,8.5,8,8,2.5,10,8
"131",921316857,0,9,9,8.5,10,10,10,10,10
"132",917420294,0,10,8.25,8.5,8,6,2.5,10,10
"133",920780219,1,9,5,6.5,8,7,5,10,10
"134",920893656,0,10,6.75,7.5,10,10,5,10,4
"135",921177261,0,10,8,8.5,8,10,5,10,10
"136",919385654,0,7,2,6.5,10,10,5,10,10
"137",919494736,1,10,10,4.5,4,6,7.5,8,9
"138",920858390,2,9,9.25,7.5,8,10,5,10,2.5
"139",918656012,0,10,0,4.875,8,4,5,10,10
"140",919246418,1,9,6,8.5,8,6,7.5,10,10
"141",918479587,1,10,10,8.5,10,10,7.5,10,8
"142",919194104,2,9,4.5,5,8,10,5,10,10
"143",921269629,2,9,0,10,4,5,0,10,7
"144",921256292,0,8,5.25,6.5,4,4,5,9,8
"145",919223266,1,10,10,10,10,10,10,10,10
"146",920112191,1,8.5,6.5,9,10,8,5,10,9
"147",920929339,1,9,8,7,8,4,5,10,10
"148",919948172,0,7.5,3.5,10,10,4,5,10,4.5
"149",920506710,0,10,10,5.875,10,10,2.5,10,10
"150",919590436,1,10,10,7.5,10,10,10,10,10
"151",918471718,0,10,9,7.5,10,6,5,10,9
"152",919914818,1,8,5.75,8.5,10,4,5,10,10
"153",920436534,0,9,10,5,8,10,7.5,10,10
"154",918218890,3,9.5,10,5.375,10,10,5,10,8
"155",920878008,3,10,8,10,10,8,5,10,10
"156",919169883,0,10,10,8.5,8,10,5,10,10
"157",919282184,1,10,5.5,7.5,8,8,0,10,5
"158",920656013,0,10,5,8.5,8,7,10,10,10
"159",920488993,0,8,6,5,8,6,0,10,10
"160",918456694,1,10,6.5,10,8,10,2.5,10,8
"161",919928969,2,2,6.75,0,8,6,0,10,10
"162",921326070,1,10,6,8.5,10,8,7.5,10,10
"163",919049974,0,9.5,7,5.5,10,10,5,10,0
"164",918578190,0,9,5.5,7.5,8,10,7.5,10,10
"165",918333241,0,9,0,8.5,10,10,5,10,10
"166",920654028,2,10,10,7.5,10,10,9,10,10
"167",919711558,1,10,5.5,7.5,10,4,7.5,10,10
"168",918609661,2,8,3,6,10,10,0,10,3
"169",918144472,0,8.5,8,8.5,6,10,0,10,10
"170",920693704,0,9,10,8.5,10,10,7.5,10,10
"171",919625589,1,8.5,0,6,10,8,0,0,10
"172",918509156,1,10,6,6.5,10,6,10,10,9
"173",919973286,1,10,8.5,5.5,8,0,5,10,4
"174",916561057,0,8,6,7.25,8,4,7.5,10,4.5
"175",916556606,0,8,5,6.5,10,4,7.5,10,6
"176",919296484,0,10,6.75,8.5,10,6,5,10,7
"177",920566462,5,8,6,6.5,8,6,6.5,10,10
"178",920831825,0,10,9,8.5,10,2,5,10,10
"179",920477865,0,9.5,2.5,8.25,10,6,5,10,10
"180",920646094,1,10,5.5,6.5,8,10,7.5,10,10
"181",916070386,0,9,9,9,10,10,5,10,10
"182",918131003,1,8,0,8.5,10,10,10,10,4
"183",917986822,0,8,0,2,6,10,0,10,10
"184",919348167,0,8,1,10,10,10,7.5,10,10
"185",918444761,0,10,1.5,6.5,10,10,5,10,10
"186",918328780,1,10,10,10,10,10,7.5,10,10
"187",919503889,3,10,10,5.5,10,10,10,10,10
"188",919661873,1,10,5.5,10,10,6,2.5,10,10
"189",921399311,0,9,1.25,9,4,6,5,10,9
"190",918641454,0,9,1,5,6,4,0,10,7
"191",920053373,0,10,5.25,5,8,2,5,10,9
"192",921392813,1,10,10,10,10,10,7.5,10,10
"193",920978924,0,10,10,10,10,6,7.5,10,10
"194",919688636,1,10,4.5,8.5,10,10,10,10,10
"195",920775172,2,8.5,4.5,8.5,8,10,7.5,10,10
"196",920984293,0,8.5,3.5,5.5,10,2,0,10,9
"197",920512814,4,10,9.25,8.5,10,4,10,10,10
"198",920919569,1,8,5,5,4,4,5,5,9
"199",918129510,0,5,0,8.5,8,8,5,4,9
"200",919757415,0,10,5,5,10,4,5,9,10
"201",920661066,0,9,9,10,10,10,7.5,10,10
"202",920041136,3,8,4.75,4.25,10,10,5,10,8.5
"203",919551925,0,8,10,4,10,6,5,10,10
"204",919214738,1,10,8,9,10,10,5,10,10
"205",919495159,0,7.5,0,10,10,4,5,9,7.5
"206",918460949,0,10,6.5,8.5,10,10,10,10,9
"207",920563892,2,9,4,8.5,10,10,7.5,10,9
"208",920031094,1,10,7.75,5.5,6,10,5,10,10
"209",919874372,0,7,7.5,7,10,10,5,10,7
"210",918275626,0,7,0,8.25,10,4,5,8,10
"211",920665936,1,9,9.5,7.5,4,10,5,8,9
"212",921327419,0,8,8.5,8.5,10,10,5,9,10
"213",919926411,0,8.5,5.5,6.5,10,8,5,10,10
"214",920076059,3,8.5,3.75,5,10,6,0,10,7
"215",919544136,0,10,4,2,10,10,5,10,9
"216",918525525,1,8.5,10,9,10,10,7.5,10,10
"217",920852930,1,9.5,10,10,10,10,7.5,10,10
"218",919355121,0,9.5,5.5,9,10,10,7.5,10,10
"219",919881417,1,8.5,3,5,10,7,5,10,10
"220",917452110,0,9.5,5.75,10,10,10,7.5,10,10
"221",918210092,1,8,7,7,8.5,8.5,7.5,8,10
"222",920486940,0,10,1,7,0,10,4,10,8
"223",921490977,0,10,10,4,2.5,0,7.5,10,3
"224",920076868,0,10,10,10,10,10,0,10,0
"225",919528990,0,10,10,6,10,10,7.5,10,10
"226",919544110,0,10,9,10,2.5,10,7.5,10,10
"227",919706903,1,8.25,6.5,6,10,0,7.5,10,8
"228",920435894,1,10,8.5,10,10,10,10,10,10
"229",917337099,0,10,6.5,10,7.5,10,5,10,7
"230",921380320,0,10,10,6.5,7.5,0,2.5,10,10
"231",920916669,1,10,10,10,10,10,10,10,7
"232",921361129,1,10,10,7.5,10,10,5,10,7
"233",920985043,0,10,1,7.5,10,0,4,10,3
"234",916932291,0,10,8.5,8,10,10,7.5,10,10
"235",918318790,0,10,9,6.5,10,10,5,10,3.5
"236",920181258,1,8.25,9.75,8.5,10,10,10,10,8
"237",921300973,1,10,10,4,4,10,5,10,10
"238",919361571,0,2,1,4.25,2.5,0,5,0,2
"239",921000655,1,10,9.5,7.5,10,10,7.5,10,8
"240",919664113,0,10,7,8,2.5,10,5,10,3
"241",917987070,0,10,10,10,2.5,10,10,10,10
"242",919295087,1,10,9,8.5,7.5,10,10,10,7
"243",919180464,3,10,6.5,3,8.5,10,5,10,7
"244",918572947,0,10,9,10,7.5,10,5,10,10
"245",918533669,0,10,10,10,10,10,2,10,10
"246",919864667,0,8.5,0,8.5,10,0,2.5,8,2
"247",920085752,1,10,10,6.5,10,10,10,10,10
"248",921205214,1,10,7,9,7.5,10,5,10,8.5
"249",918824970,0,9.75,9.5,10,2.5,10,10,10,10
"250",919499142,1,5.75,0,8,10,10,7.5,10,10
"251",919938865,2,8.5,7,10,10,10,5,10,8
"252",919337291,1,10,9.5,10,10,8.5,2.5,10,10
"253",919942880,1,10,7,7,10,10,10,8,10
"254",920482850,0,8.5,10,10,2.5,10,5,10,7
"255",920648021,1,10,10,10,10,10,7,10,10
"256",921315269,2,10,10,10,10,10,7.5,10,8
"257",921492506,3,10,10,10,10,10,2.5,10,6
"258",919951839,2,10,10,8.5,10,10,7.5,5,8
"259",919918429,0,10,10,10,10,10,5,10,10
"260",919986590,2,10,10,10,10,10,0,8,5
"261",918550338,0,7.25,9.5,10,2.5,10,5,10,8
"262",919712256,1,10,8.5,10,10,10,10,10,10
"263",921058432,1,10,9.5,8,10,10,10,10,8
"264",918333429,2,7.25,9,8.5,2.5,10,7.5,10,4
"265",919246641,0,9.75,10,8.5,4,10,5,10,1
"266",921123901,1,10,10,7.5,10,10,7.5,10,10
"267",918752987,0,10,0,5,6,10,7.5,4,10
"268",918546601,0,10,7,8,10,10,7.5,10,3
"269",918467557,0,10,10,8,10,10,7.5,10,10
"270",921187471,2,4.5,0,7,1.25,10,2.5,10,10
"271",919245532,0,3.5,9,4,5,8.5,0,10,8
"272",918126759,0,10,10,10,10,10,10,10,5
"273",918306281,0,10,9.5,8.5,10,10,2.5,10,10
"274",919743843,0,10,7,3,7,10,7.5,10,4.5
"275",918845917,0,8.5,8.5,7,10,10,7.5,10,4
"276",921034838,0,10,9,8,10,10,9,10,10
"277",918061937,1,8.5,6.5,8.5,7.5,10,10,10,10
"278",919141513,0,8.5,0,8.5,7.5,10,5,10,10
"279",921029953,0,8.5,8.5,8,10,10,0,10,7
"280",920023549,1,10,10,6,10,10,2.5,10,10
"281",918678702,0,10,1,10,2.5,10,5,10,8
"282",918569552,0,8.5,10,10,7.5,10,5,10,8
"283",920592504,0,10,7,6.75,8,0,5,7,5.5
"284",920728572,1,10,10,10,10,10,7.5,10,10
"285",919408081,0,10,10,10,10,8.5,7.5,10,10
"286",919283989,0,10,9.5,8,10,10,2.5,10,8.5
"287",919508059,0,10,10,10,7.5,10,0,10,8
"288",920773417,0,10,0,6,2.5,10,0,8,6.5
"289",918612056,0,10,9.5,8,10,10,0,10,10
"290",920777060,1,10,9,8.5,10,10,10,10,10
"291",919595813,1,10,6.5,8,10,10,5,10,8
"292",921013626,0,10,7,10,2.5,10,10,10,3.5
"293",919802470,0,8.5,7,10,2.5,8.5,5,10,4.5
"294",919734593,0,10,0,8,2.75,0,0,8,7
"295",920475469,0,8.5,10,10,2.5,10,7.5,10,10
"296",919903874,0,10,8.5,5.5,0,10,5,10,3
"297",920798641,1,10,9,6.5,10,10,0,10,10
"298",920003983,0,10,0,3.5,7.5,10,2.5,10,3
"299",920952225,3,10,8.5,10,7.5,10,10,8,5
"300",918841791,0,10,7,4.5,8,10,2.5,10,8
"301",920617353,1,10,0,7.5,4.25,10,0,10,7
"302",921049593,0,9.75,10,8,10,10,5,10,7
"303",916873842,0,8,8.5,5,7.5,10,5,10,6
"304",919602324,0,10,10,8,10,10,7.5,10,10
"305",921033127,1,7.5,1,10,7,0,2.5,10,0
"306",918306715,1,10,9,6.5,10,10,10,10,10
"307",920834961,1,10,10,6.5,10,10,2.5,10,10
"308",919349551,1,10,9,8,2.5,10,10,10,2
"309",920154214,0,10,10,8,10,10,7.5,10,10
"310",920487376,1,10,10,10,2.5,10,2.5,10,4.5
"311",919602285,1,8.5,9,10,10,10,10,10,10
"312",920562767,1,10,10,10,10,10,10,10,10
"313",918769048,1,10,10,10,10,10,5,10,10
"314",919609314,2,10,10,10,10,10,2.5,10,5.5
"315",920985496,0,10,8.5,7,10,10,7.5,10,5.5
"316",919330094,1,10,7,10,7.5,10,10,10,5.5
"317",919454996,0,8.5,7,4.25,6.25,10,2.5,10,3
"318",921206611,0,10,7,6.5,7.5,10,10,10,5.5
"319",918767037,1,10,6.5,9.5,10,0,7.5,10,8
"320",921000435,0,10,6.5,10,10,10,5,10,6.5
"321",919278596,1,10,10,10,10,10,10,10,10
"322",919958874,0,5,10,7.5,10,10,2.5,10,2
"323",919445141,1,10,10,1.5,7.5,10,7.5,10,10
"324",917474059,0,10,7,10,6.5,10,5,10,6
"325",918030418,0,8.5,1,10,6.5,10,4,10,7
"326",919335387,0,9.75,5.5,10,10,0,4,10,7
"327",919716391,1,7.5,10,10,10,10,10,10,10
"328",919988365,4,7.5,7,10,6.5,6.5,5,10,5
"329",917527498,0,10,7,10,10,6.5,2.5,10,10
"330",919415469,0,8.5,7,10,6.5,10,2.5,10,10
"331",919176627,1,9.75,7,6.5,4.25,10,4,10,5
"332",919023259,1,10,10,10,10,10,7.5,10,7
"333",920014105,1,10,10,10,10,10,4,10,6
"334",920967469,0,8.5,10,10,4.25,10,2.5,10,7
"335",920077401,0,10,9,9.5,4.25,10,4,6,7
"336",919813414,1,9.75,9,10,10,10,2.5,6,6
"337",920848753,1,10,10,10,10,10,10,10,10
"338",918326724,0,8.5,10,6,6.5,10,2.5,10,7
"339",917069862,0,8.5,7,5,6.5,10,2.5,10,10
"340",919153488,0,10,10,10,10,10,10,10,10
"341",920674639,0,10,10,10,10,10,5,10,10
"342",920524873,0,10,9,10,6.5,10,10,10,10
"343",918106892,1,10,6.5,9.5,4.25,10,2.5,10,8.5
"344",917065921,0,7.5,9,10,4.25,10,5,10,7
"345",919410574,1,10,8.5,10,4.25,10,10,10,10
"346",918752835,1,10,10,10,10,10,5,10,10
"347",921205696,0,10,10,10,10,10,4,10,10
"348",918738516,0,9.25,9,7.5,6.5,0,5,10,8
"349",919452312,0,9.75,1,4.5,6.5,10,2.5,10,6
"350",920958135,0,10,10,10,10,10,10,10,9
"351",920758351,0,10,6.5,10,10,10,5,10,7
"352",917029022,2,10,10,10,10,10,7.5,10,10
"353",921235174,0,10,10,10,6.5,10,2.5,10,5.5
"354",919286449,0,10,7,8.5,6.5,0,4,10,7
"355",918319773,1,10,6.5,10,10,10,10,10,10
"356",919332652,2,10,10,10,10,10,5,10,7
"357",919180192,0,10,6.5,9.5,1,10,0,10,3
"358",916855734,0,10,10,10,6.5,10,5,10,10
"359",920901289,0,10,5.5,7.5,10,10,2.5,10,10
"360",918680305,2,10,10,8.5,10,10,10,10,8
"361",920758814,0,10,10,3.5,10,10,10,10,10
"362",921390556,0,9.75,10,10,10,6.5,2.5,10,5
"363",920896103,0,9.75,8.5,9,10,10,2.5,10,10
"364",920611003,0,10,10,10,6.5,10,5,10,10
"365",919195459,1,10,10,10,10,10,2.5,10,10
"366",919560149,1,10,7,10,10,10,2.5,10,10
"367",918687528,2,10,5.5,8,10,10,4,10,10
"368",918014638,2,10,1,9,10,6.5,2.5,3,0
"369",919396119,0,10,0,10,6.5,0,2.5,4,6.5
"370",921096656,3,10,10,10,9,10,0,10,6.5
"371",918588300,0,10,10,10,6.5,0,2.5,10,7
"372",921168791,0,10,5.5,10,10,10,5,10,10
"373",915435469,0,10,9,10,6.5,10,5,10,7
"374",921252173,0,10,10,9,6.5,10,2.5,10,7
"375",919905432,4,10,8.5,9,6.5,10,10,10,10
"376",919200742,1,8.5,5.5,10,2.25,10,5,10,5.5
"377",919745236,0,10,1,5,4.25,10,0,4,2.5
"378",920041576,0,10,5.5,8,6.5,10,5,10,10
"379",921241692,0,10,10,10,10,10,5,10,10
"380",916473734,0,0,7,6.5,3,10,5,10,5.5
"381",919330780,0,10,10,7.5,10,10,10,10,9
"382",921345608,0,8.5,7,9,6.5,10,2.5,6,0
"383",918193355,0,10,8.5,10,6.5,10,2.5,0,0
"384",920544484,0,10,10,10,10,10,5,10,5.5
"385",919570760,2,10,7,8,10,10,5,10,10
"386",920816251,3,10,5.5,6.5,10,0,5,10,10
"387",920734032,1,10,9,10,10,10,2.5,10,7
"388",920521889,0,10,7,7,4.25,10,10,10,10
"389",919356890,1,9.75,5.5,10,6.5,10,7.5,10,9
"390",920802540,0,9.75,7,8.5,6.5,0,10,10,8.5
"391",921094205,1,10,10,10,10,10,5,10,10
"392",919699573,0,10,10,10,10,10,5,10,10
"393",919565597,0,10,9,7,10,10,2.5,10,7.5
"394",920758212,1,9.75,10,10,10,10,10,10,10
"395",920626001,0,10,10,9.5,10,10,2.5,10,7
"396",917985726,0,10,10,9,10,10,10,10,6.5
"397",920042229,0,10,9,10,6.5,10,2.5,10,7.5
"398",919722259,0,10,5.5,8,10,0,5,10,8.5
"399",918726780,3,10,10,10,6.5,10,5,10,7
"400",920502196,0,10,1,9.5,10,0,6.5,10,10
"401",921314639,1,10,10,10,6.5,10,10,10,10
"402",918166793,0,9.75,1,0,10,10,2.5,10,0
"403",920517110,1,10,7,6,4.25,6.5,5,10,4.5
"404",920101885,0,10,9,5,10,0,2.5,10,9
"405",920896983,0,8.5,5.5,5,10,6.5,4,10,6
"406",920795518,0,10,8.5,10,10,10,7.5,10,5.5
"407",918245847,0,7,10,10,4.25,10,2.5,10,0
"408",921374682,0,10,10,10,10,10,10,10,10
"409",920661600,2,10,8.5,10,10,10,4,10,6.5
"410",920049086,1,10,10,10,6.5,6.5,6.5,10,5
"411",921476739,3,10,10,9.5,6.5,6.5,5,10,5
"412",918717799,0,10,1,7.5,6.5,6.5,2.5,10,5.5
"413",918772653,0,10,10,10,6.5,10,7.5,10,7
"414",919715994,2,9.75,1,8.5,6.5,10,5,0,10
"415",919151228,2,8.5,10,9,10,10,5,10,7.5
"416",919340767,1,0,7,10,6.5,10,2.5,10,4
"417",920447044,1,10,5.5,10,10,10,2.5,10,8.5
"418",919692871,0,10,7,10,10,10,10,10,10
"419",918570583,0,10,7,9,3.5,10,2.5,10,7
"420",920602818,1,10,10,3.5,10,10,10,10,5
"421",921066534,1,9.75,7,10,6.5,10,2.5,10,9
"422",918318295,0,10,10,8.875,6.5,10,5,10,7
"423",919793974,1,10,10,10,10,10,2.5,10,1
"424",921117454,0,10,7,10,10,10,2.5,10,4
"425",920771613,0,10,7,9,4.25,0,2.5,4,0
"426",920786200,0,10,10,8,6.5,10,5,10,10
