"source","SID","views3","pv_def","pv_cv","confound","interpret"
"Exam_3B_scores.csv",921096818,0,9,12,10,3
"Exam_3B_scores.csv",921826114,3,8,13,15,3
"Exam_3B_scores.csv",920680636,1,9,2,5,2.5
"Exam_3B_scores.csv",921161345,3,10,16,7.5,3
"Exam_3B_scores.csv",918851859,0,10,16,15,2.5
"Exam_3B_scores.csv",920904370,2,10,9,15,3
"Exam_3B_scores.csv",922302718,1,10,11,5,2
"Exam_3B_scores.csv",919487646,3,10,16,5,5
"Exam_3B_scores.csv",918645625,0,10,18,15,5
"Exam_3B_scores.csv",919060827,0,9,16,5,2.5
"Exam_3B_scores.csv",922729566,0,9,13,2.5,5
"Exam_3B_scores.csv",921746540,0,10,15,10,2
"Exam_3B_scores.csv",921899125,2,10,15,15,1.5
"Exam_3B_scores.csv",922014022,2,7,9,15,3
"Exam_3B_scores.csv",922151383,8,9,16,15,3.5
"Exam_3B_scores.csv",922659717,2,9,9,15,3
"Exam_3B_scores.csv",920672071,2,8,13,10,2.5
"Exam_3B_scores.csv",921139555,1,9,16,15,5
"Exam_3B_scores.csv",922712984,0,9,20,15,4.5
"Exam_3B_scores.csv",920085435,3,10,13,15,2.5
"Exam_3B_scores.csv",918553872,0,10,15,15,1
"Exam_3B_scores.csv",918405988,0,8,2,15,3
"Exam_3B_scores.csv",921101910,1,8,15,15,3
"Exam_3B_scores.csv",921860594,0,10,14,10,2.5
"Exam_3B_scores.csv",922000269,5,10,14,15,3.5
"Exam_3B_scores.csv",920627893,1,10,15,15,3
"Exam_3B_scores.csv",920919640,2,8,14,10,4
"Exam_3B_scores.csv",920693827,1,10,11,5,3
"Exam_3B_scores.csv",922542581,1,9,18,10,1
"Exam_3B_scores.csv",918739858,5,10,16,15,3
"Exam_3B_scores.csv",921992679,1,8,16,10,4.5
"Exam_3B_scores.csv",922026418,3,0,6,5,0
"Exam_3B_scores.csv",919186358,0,10,20,15,5
"Exam_3B_scores.csv",921800318,3,8,18,7.5,3
"Exam_3B_scores.csv",922452930,4,10,16,5,2.5
"Exam_3B_scores.csv",919407752,2,7,14,5,3
"Exam_3B_scores.csv",919406397,1,10,16,12.5,3
"Exam_3B_scores.csv",919860234,3,6,0,5,3
"Exam_3B_scores.csv",919870334,0,6,5,7.5,3
"Exam_3B_scores.csv",920544277,0,9,15,15,2.5
"Exam_3B_scores.csv",919586945,1,7,13,12.5,3
"Exam_3B_scores.csv",919927766,5,9,14,10,2.5
"Exam_3B_scores.csv",919571497,2,7,11,7.5,3
"Exam_3B_scores.csv",919265240,0,8,13,15,4
"Exam_3B_scores.csv",922639575,1,9,13,5,3
"Exam_3B_scores.csv",922388017,1,8,14,5,3
"Exam_3B_scores.csv",922315394,1,10,18,15,3
"Exam_3B_scores.csv",920440054,1,9,16,5,3
"Exam_3B_scores.csv",919235636,4,9,9,5,1.5
"Exam_3B_scores.csv",921779287,1,8,13,5,0
"Exam_3B_scores.csv",920724178,0,9,16,5,3
"Exam_3B_scores.csv",918499774,2,7,13,15,1.5
"Exam_3B_scores.csv",921395179,4,9,13,15,2.5
"Exam_3B_scores.csv",922582486,5,6,0,7.5,2.5
"Exam_3B_scores.csv",920621886,3,9,13,15,2.5
"Exam_3B_scores.csv",921887629,4,8,13,10,3.5
"Exam_3B_scores.csv",922703537,1,10,18,15,3
"Exam_3B_scores.csv",922217175,0,10,13,10,1.5
"Exam_3B_scores.csv",922774171,0,10,16,15,2
"Exam_3B_scores.csv",920990669,0,10,18,15,2.5
"Exam_3B_scores.csv",921916082,3,10,13,12.5,2
"Exam_3B_scores.csv",920771736,1,9,11,15,3
"Exam_3B_scores.csv",919987780,0,6,15,15,4
"Exam_3B_scores.csv",921859411,2,6,11,10,2.5
"Exam_3B_scores.csv",921850339,5,10,18,5,1
"Exam_3B_scores.csv",919309229,0,10,18,10,3
"Exam_3B_scores.csv",922090347,11,8,11,15,5
"Exam_3B_scores.csv",918820958,4,8,9,5,2.5
"Exam_3B_scores.csv",921144346,2,10,20,15,4.5
"Exam_3B_scores.csv",921971535,1,10,18,15,3
"Exam_3B_scores.csv",916566421,0,8,11,10,3
"Exam_3B_scores.csv",919948871,0,9,0,7.5,1
"Exam_3B_scores.csv",918029924,0,3,6,7.5,1
"Exam_3B_scores.csv",921681870,0,6,4,5,1
"Exam_3B_scores.csv",921991201,1,10,18,15,3
"Exam_3B_scores.csv",919933828,4,9,18,15,5
"Exam_3B_scores.csv",920513813,2,10,16,15,3
"Exam_3B_scores.csv",922401143,3,9,14,7.5,3
"Exam_3B_scores.csv",920985849,2,10,13,15,2.5
"Exam_3B_scores.csv",921168364,0,7,13,10,1
"Exam_3B_scores.csv",921206268,0,8,9,10,1.5
"Exam_3B_scores.csv",922188657,1,9,0,7.5,2
"Exam_3B_scores.csv",921096287,5,9,6,7.5,2.5
"Exam_3B_scores.csv",921788278,2,0,11,5,3
"Exam_3B_scores.csv",922547007,1,10,15,7.5,4
"Exam_3B_scores.csv",922254183,6,10,13,15,2.5
"Exam_3B_scores.csv",922219416,4,7,10,5,1.5
"Exam_3B_scores.csv",922612893,3,9,16,7.5,2.5
"Exam_3B_scores.csv",920584509,2,10,18,15,2.5
"Exam_3B_scores.csv",922549270,0,9,16,15,3
"Exam_3B_scores.csv",920940622,0,9,9,7.5,1.5
"Exam_3B_scores.csv",922110272,5,10,13,15,4.5
"Exam_3B_scores.csv",921085861,0,9,12,15,1
"Exam_3B_scores.csv",919522996,1,9,13,15,2.5
"Exam_3B_scores.csv",919527577,5,10,7,10,3
"Exam_3B_scores.csv",922509197,8,9,13,15,3
"Exam_3B_scores.csv",922074952,1,8,13,15,3
"Exam_3B_scores.csv",918226853,8,8,9,15,2
"Exam_3B_scores.csv",922484982,2,10,16,12.5,4
"Exam_3B_scores.csv",921408574,2,9,0,5,3
"Exam_3B_scores.csv",921791456,10,9,13,10,3.5
"Exam_3B_scores.csv",922360792,0,0,0,5,1
"Exam_3B_scores.csv",922658048,11,9,5,15,2
"Exam_3B_scores.csv",922413995,4,9,11,7.5,3
"Exam_3B_scores.csv",922640483,10,10,11,15,3
"Exam_3B_scores.csv",919315323,6,10,16,15,2
"Exam_3B_scores.csv",922145399,4,10,11,15,5
"Exam_3B_scores.csv",922332791,1,8,0,12.5,3
"Exam_3B_scores.csv",921103769,2,7,11,15,4
"Exam_3B_scores.csv",920479520,0,10,18,15,2.5
"Exam_3B_scores.csv",922049686,0,10,18,15,2
"Exam_3B_scores.csv",922075799,3,7,13,15,2.5
"Exam_3B_scores.csv",920777808,3,10,13,15,3
"Exam_3B_scores.csv",921320717,1,10,13,15,3
"Exam_3B_scores.csv",922201259,1,10,20,15,3.5
"Exam_3B_scores.csv",921910017,2,10,18,15,4
"Exam_3B_scores.csv",920818479,0,7,13,15,4
"Exam_3B_scores.csv",921011217,0,7,16,15,2.5
"Exam_3B_scores.csv",919997453,2,10,17,15,4
"Exam_3B_scores.csv",922711943,0,8,18,15,3
"Exam_3B_scores.csv",921958710,0,10,13,15,2.5
"Exam_3B_scores.csv",922330777,4,10,14,15,2
"Exam_3B_scores.csv",920779686,4,8,7,2.5,1.5
"Exam_3B_scores.csv",922557110,1,9,18,15,3
"Exam_3B_scores.csv",921096850,2,5,0,7.5,2
"Exam_3B_scores.csv",919716168,4,8,13,15,3
"Exam_3B_scores.csv",918641946,1,8,13,10,3
"Exam_3B_scores.csv",921982621,0,0,9,15,3
"Exam_3B_scores.csv",922398489,5,10,18,15,4
"Exam_3B_scores.csv",919458701,3,6,14,10,3
"Exam_3B_scores.csv",922296963,6,10,18,12.5,4.5
"Exam_3B_scores.csv",922374241,0,8,16,12.5,2.5
"Exam_3B_scores.csv",919649109,2,9,18,15,5
"Exam_3B_scores.csv",921226002,1,10,13,12.5,3
"Exam_3B_scores.csv",922304606,0,8,8,12.5,1.5
"Exam_3B_scores.csv",922048056,1,10,9,15,3
"Exam_3B_scores.csv",922680906,3,9,9,12.5,3
"Exam_3B_scores.csv",922590821,1,10,11,15,4.5
"Exam_3B_scores.csv",920730191,6,10,13,15,3
"Exam_3B_scores.csv",921944643,14,10,15,12.5,3.5
"Exam_3B_scores.csv",921262561,5,7,14,15,3
"Exam_3B_scores.csv",921186058,1,10,16,15,4
"Exam_3B_scores.csv",921081425,1,9,10,15,3
"Exam_3B_scores.csv",920704981,1,8,11,12.5,2.5
"Exam_3B_scores.csv",921353807,0,10,0,10,3
"Exam_3B_scores.csv",922355396,5,10,13,15,2
"Exam_3B_scores.csv",920866780,2,10,16,15,4.5
"Exam_3B_scores.csv",919195255,1,5,0,5,2.5
"Exam_3B_scores.csv",919663253,1,9,16,5,3
"Exam_3B_scores.csv",919875669,2,7,0,12.5,2
"Exam_3B_scores.csv",922503151,0,9,10,5,1.5
"Exam_3B_scores.csv",919279948,1,7,11,5,1.5
"Exam_3B_scores.csv",921149396,2,3,12,5,2.5
"Exam_3B_scores.csv",920417799,4,9,11,15,1
"Exam_3B_scores.csv",920516140,1,8,16,15,3
"Exam_3B_scores.csv",920810341,2,9,16,7.5,2
"Exam_3B_scores.csv",921650555,3,9,0,7.5,1.5
"Exam_3B_scores.csv",918732101,4,5,14,15,3
"Exam_3B_scores.csv",922418424,3,8,16,15,4
"Exam_3B_scores.csv",920727340,3,8,14,12.5,3
"Exam_3B_scores.csv",922713970,0,6,13,5,3
"Exam_3B_scores.csv",922664922,3,8,20,15,3.5
"Exam_3B_scores.csv",922758252,1,9,20,15,1
"Exam_3B_scores.csv",922635388,4,6,9,15,3
"Exam_3B_scores.csv",919902765,2,7,11,7.5,0
"Exam_3B_scores.csv",920548998,2,9,14,7.5,3.5
"Exam_3B_scores.csv",922371367,4,0.5,2,7.5,1
"Exam_3B_scores.csv",922465011,3,10,18,5,3
"Exam_3B_scores.csv",922010628,5,8,15,7.5,4.5
"Exam_3B_scores.csv",922509692,5,7,14,15,3
"Exam_3B_scores.csv",921677017,2,10,16,10,3
"Exam_3B_scores.csv",921882556,0,10,9,7.5,4
"Exam_3B_scores.csv",920795958,1,10,13,15,3
"Exam_3B_scores.csv",920071999,3,10,14,15,2
"Exam_3B_scores.csv",921850957,5,10,20,15,5
"Exam_3B_scores.csv",920899731,3,3,13,12.5,3
"Exam_3B_scores.csv",921451602,1,8,16,7.5,2.5
"Exam_3B_scores.csv",920787869,0,9,13,15,3
"Exam_3B_scores.csv",920581764,1,9,20,15,5
"Exam_3B_scores.csv",920716115,4,8,14,15,1.5
"Exam_3B_scores.csv",921133412,3,6,13,12.5,4
"Exam_3B_scores.csv",921881984,3,10,16,7.5,3
"Exam_3B_scores.csv",922381182,2,6,0,15,1.5
"Exam_3B_scores.csv",922513976,3,8,18,10,1.5
"Exam_3B_scores.csv",920803756,1,3,18,7.5,1.5
"Exam_3B_scores.csv",920775787,2,7,12,7.5,1.5
"Exam_3B_scores.csv",920076936,2,7,16,10,3
"Exam_3B_scores.csv",922017317,1,7,13,7.5,1.5
"Exam_3B_scores.csv",922396711,13,7,13,10,3.5
"Exam_3B_scores.csv",920725973,0,10,12,10,1.5
"Exam_3B_scores.csv",920624948,2,10,16,15,1.5
"Exam_3B_scores.csv",920858905,3,8,18,10,3
"Exam_3B_scores.csv",919864256,2,7,13,12.5,2.5
"Exam_3B_scores.csv",919241617,3,10,11,12.5,2.5
"Exam_3B_scores.csv",919943928,1,9,18,15,3
"Exam_3B_scores.csv",921376017,3,8.5,9,10,2.5
"Exam_3B_scores.csv",919702101,1,7,0,15,0
"Exam_3B_scores.csv",922119435,1,7,11,15,2.5
"Exam_3B_scores.csv",920960385,1,7,14,15,3
"Exam_3B_scores.csv",922400814,2,8,16,10,3
"Exam_3B_scores.csv",920055106,0,6,11,15,3
"Exam_3B_scores.csv",921012863,0,8,18,7.5,3
"Exam_3B_scores.csv",919215229,8,10,14,7.5,1
"Exam_3B_scores.csv",922613038,3,7,0,5,1.5
"Exam_3B_scores.csv",920691735,0,7,0,15,1.5
"Exam_3B_scores.csv",919901753,0,6,9,7.5,1
"Exam_3B_scores.csv",919905908,4,7,13,7.5,4
"Exam_3B_scores.csv",921473321,2,8,9,7.5,3
"Exam_3B_scores.csv",917159468,1,10,20,12.5,4
"Exam_3B_scores.csv",922697517,0,7,11,15,1
"Exam_3B_scores.csv",919660023,1,0,0,5,2.5
"Exam_3B_scores.csv",921493288,2,4,9,7.5,3
"Exam_3B_scores.csv",917993611,1,7,9,15,3
"Exam_3B_scores.csv",919552746,6,9,9,5,1
"Exam_3B_scores.csv",922225358,1,10,18,12.5,5
"Exam_3B_scores.csv",921759074,0,9,16,15,4
"Exam_3B_scores.csv",921881450,0,8,18,12.5,1.5
"Exam_3B_scores.csv",922607471,0,7,16,15,2.5
"Exam_3B_scores.csv",920595190,2,10,14,12.5,4.5
"Exam_3B_scores.csv",921121657,5,10,16,15,2
"Exam_3B_scores.csv",921890946,0,7,11,5,3
"Exam_3B_scores.csv",922017427,1,9,16,10,2.5
"Exam_3B_scores.csv",919246874,1,9,14,7.5,1
"Exam_3B_scores.csv",921939195,5,9,13,7.5,3
"Exam_3B_scores.csv",922421437,2,10,18,15,3
"Exam_3B_scores.csv",921903778,1,7,9,10,2
"Exam_3B_scores.csv",921452533,2,8,13,15,2.5
"Exam_3B_scores.csv",920997895,0,9,16,15,4
"Exam_3B_scores.csv",920082522,0,9,18,10,3
"Exam_3B_scores.csv",921034524,5,3,0,5,1.5
"Exam_3B_scores.csv",921674900,10,9,9,15,3
"Exam_3B_scores.csv",922806191,0,8,16,7.5,1
"Exam_3B_scores.csv",920628957,0,3,16,5,3
"Exam_3B_scores.csv",921803014,3,8,0,7.5,3
"Exam_3B_scores.csv",919305168,3,9,13,15,4
"Exam_3B_scores.csv",922511334,2,10,13,15,3
"Exam_3B_scores.csv",922761906,3,7,11,10,3.5
"Exam_3B_scores.csv",921769938,6,9,20,15,4
"Exam_3B_scores.csv",922160109,1,8,11,10,1.5
"Exam_3B_scores.csv",922720659,3,8,16,15,4
"Exam_3B_scores.csv",919665879,2,6.5,16,15,3
"Exam_3B_scores.csv",921494083,4,3,14,7.5,3
"Exam_3B_scores.csv",920581780,3,10,16,7.5,3
"Exam_3B_scores.csv",919883266,3,10,20,15,3
"Exam_3B_scores.csv",922437175,3,7,13,15,3
"Exam_3B_scores.csv",919614370,1,9,13,15,2
"Exam_3B_scores.csv",921877613,1,8,16,10,1.5
"Exam_3C_scores.csv",921083070,8,10,12,10,5
"Exam_3C_scores.csv",922219047,0,7,4,0,2
"Exam_3C_scores.csv",921813729,2,6,14,10,4
"Exam_3C_scores.csv",918058788,2,9,16,5,3
"Exam_3C_scores.csv",919897472,1,10,16,5,3
"Exam_3C_scores.csv",919150397,1,10,20,15,3
"Exam_3C_scores.csv",922008643,5,10,16,5,3
"Exam_3C_scores.csv",920968798,0,9,16,12.5,4
"Exam_3C_scores.csv",921147929,5,9,9,15,3
"Exam_3C_scores.csv",920816950,3,10,20,15,2
"Exam_3C_scores.csv",922810941,1,8,16,15,5
"Exam_3C_scores.csv",922292132,0,10,12,12.5,4
"Exam_3C_scores.csv",922232176,1,10,18,15,4
"Exam_3C_scores.csv",919898992,1,6,8,5,4
"Exam_3C_scores.csv",922038040,5,10,20,15,4
"Exam_3C_scores.csv",921293365,2,8,2,7.5,1
"Exam_3C_scores.csv",920924952,0,7,16,15,5
"Exam_3C_scores.csv",922378179,7,10,2,15,3
"Exam_3C_scores.csv",922726475,5,10,2,7.5,3
"Exam_3C_scores.csv",920966884,1,0,7,0,3
"Exam_3C_scores.csv",922062016,1,10,16,15,5
"Exam_3C_scores.csv",922420700,3,7,14,15,3
"Exam_3C_scores.csv",922648621,1,10,6,15,4
"Exam_3C_scores.csv",922906444,0,9,2,0,2
"Exam_3C_scores.csv",921246273,2,10,18,15,2
"Exam_3C_scores.csv",922596401,7,8,2,7.5,2
"Exam_3C_scores.csv",922091906,1,10,16,15,4
"Exam_3C_scores.csv",921885676,1,10,18,15,3
"Exam_3C_scores.csv",918510297,2,10,16,12.5,2
"Exam_3C_scores.csv",922332021,0,10,7,5,2
"Exam_3C_scores.csv",920983540,4,9,9,10,3
"Exam_3C_scores.csv",919647114,1,8,6,0,2
"Exam_3C_scores.csv",921726531,0,10,0,15,3
"Exam_3C_scores.csv",922217269,0,5,12,2.5,2
"Exam_3C_scores.csv",922513484,0,9,0,7.5,3
"Exam_3C_scores.csv",920442395,0,9,16,15,4
"Exam_3C_scores.csv",919505117,0,7,14,0,5
"Exam_3C_scores.csv",922133301,4,3,0,15,3
"Exam_3C_scores.csv",922527904,4,9,20,5,5
"Exam_3C_scores.csv",996793395,2,10,8,7.5,3
"Exam_3C_scores.csv",921809623,0,7,16,12.5,3
"Exam_3C_scores.csv",920825666,0,7,18,5,3
"Exam_3C_scores.csv",920926552,1,10,20,15,5
"Exam_3C_scores.csv",922377701,2,8,18,15,3
"Exam_3C_scores.csv",922645611,2,10,20,7.5,5
"Exam_3C_scores.csv",919582509,3,4,14,7.5,3
"Exam_3C_scores.csv",921079835,1,9,20,12.5,5
"Exam_3C_scores.csv",922053805,2,8,16,5,3
"Exam_3C_scores.csv",920587920,0,4,10,0,2
"Exam_3C_scores.csv",921887234,3,9,8,7.5,3
"Exam_3C_scores.csv",919701319,0,0,12,0,3
"Exam_3C_scores.csv",922131905,4,10,18,15,5
"Exam_3C_scores.csv",920931877,0,9,18,15,5
"Exam_3C_scores.csv",922127676,4,7,16,15,5
"Exam_3C_scores.csv",922395673,3,7,2,0,5
"Exam_3C_scores.csv",921939852,2,9,20,15,4
"Exam_3C_scores.csv",919606854,8,8,2,15,3
"Exam_3C_scores.csv",920105920,5,9,7,0,3
"Exam_3C_scores.csv",921828552,7,7,10,5,3
"Exam_3C_scores.csv",920879120,2,10,18,0,2
"Exam_3C_scores.csv",919858000,5,10,20,7.5,5
"Exam_3C_scores.csv",922588150,2,10,18,15,4
"Exam_3C_scores.csv",920504806,2,10,18,15,3
"Exam_3C_scores.csv",919975585,1,8,2,15,2
"Exam_3C_scores.csv",921889452,0,9,2,0,4
"Exam_3C_scores.csv",919505573,3,10,14,0,2
"Exam_3C_scores.csv",922259793,0,9,8,5,3
"Exam_3C_scores.csv",916864262,0,10,8,7.5,2
"Exam_3C_scores.csv",920661765,0,3,0,0,2
"Exam_3C_scores.csv",922273740,0,10,18,15,2
"Exam_3C_scores.csv",922009558,1,8,8,0,4
"Exam_3C_scores.csv",919872439,3,1.5,8,0,2
"Exam_3C_scores.csv",920978102,4,7,16,15,0
"Exam_3C_scores.csv",919284438,6,10,18,15,4
"Exam_3C_scores.csv",919223651,1,9,19,15,3
"Exam_3C_scores.csv",922393060,2,10,20,15,4
"Exam_3C_scores.csv",918614504,1,6,8,0,3
"Exam_3C_scores.csv",920486513,3,8,13,15,5
"Exam_3C_scores.csv",922366068,6,10,18,15,3
"Exam_3C_scores.csv",922163290,1,9,10,7.5,3
"Exam_3C_scores.csv",921862767,0,2,7,12.5,3
"Exam_3C_scores.csv",921980131,2,9,12,15,4
"Exam_3C_scores.csv",922737671,6,2,0,0,2
"Exam_3C_scores.csv",919233214,7,8,3,7.5,3
"Exam_3C_scores.csv",920829976,3,10,20,12.5,5
"Exam_3C_scores.csv",922209073,2,10,20,10,5
"Exam_3C_scores.csv",919226768,3,10,20,15,5
"Exam_3C_scores.csv",920453151,2,10,20,7.5,4
"Exam_3C_scores.csv",921073844,4,9,18,5,3
"Exam_3C_scores.csv",921936318,2,5,8,15,3
"Exam_3C_scores.csv",919908989,4,10,20,15,2
"Exam_3C_scores.csv",920003572,0,9,16,0,4
"Exam_3C_scores.csv",922314890,4,0,0,0,3
"Exam_3C_scores.csv",922075317,0,10,14,7.5,3
"Exam_3C_scores.csv",922159592,4,10,18,15,5
"Exam_3C_scores.csv",922086160,7,8,8,15,3
"Exam_3C_scores.csv",922270620,1,9,16,0,2
"Exam_3C_scores.csv",921108421,0,10,18,10,3
"Exam_3C_scores.csv",920962888,1,10,18,15,3
"Exam_3C_scores.csv",922558944,8,10,20,0,3
"Exam_3C_scores.csv",922352959,0,10,12,15,5
"Exam_3C_scores.csv",922198757,6,9,8,15,3
"Exam_3C_scores.csv",919695454,9,9,16,7.5,2
"Exam_3C_scores.csv",920876534,3,6,8,2.5,3
"Exam_3C_scores.csv",920587140,5,9,0,0,2
"Exam_3C_scores.csv",919837924,0,10,8,5,2
"Exam_3C_scores.csv",922133754,7,4,16,10,3
"Exam_3C_scores.csv",921155487,2,10,18,0,2
"Exam_3C_scores.csv",918684424,0,9,16,2.5,2
"Exam_3C_scores.csv",921942771,2,9,18,10,1
"Exam_3C_scores.csv",922232901,1,8,12,10,5
"Exam_3C_scores.csv",922454763,5,8,10,0,4
"Exam_3C_scores.csv",922457443,3,8,16,5,3
"Exam_3C_scores.csv",922007563,3,9,20,15,5
"Exam_3C_scores.csv",922250365,1,7,16,15,5
"Exam_3C_scores.csv",922224168,6,8,14,12.5,3
"Exam_3C_scores.csv",920643068,1,10,8,15,3
"Exam_3C_scores.csv",920925281,0,10,8,12.5,4
"Exam_3C_scores.csv",920432473,3,8,16,7.5,4
"Exam_3C_scores.csv",921807214,5,10,16,5,1
"Exam_3C_scores.csv",922275803,3,10,0,0,3
"Exam_3C_scores.csv",920542619,0,7,20,12.5,3
"Exam_3C_scores.csv",922712421,13,7,5,15,4
"Exam_3C_scores.csv",921870241,0,10,16,5,3
"Exam_3C_scores.csv",921088392,2,10,6,15,3
"Exam_3C_scores.csv",920707823,2,10,20,15,3
"Exam_3C_scores.csv",921313371,0,4,16,5,5
"Exam_3C_scores.csv",922566538,1,8,8,7.5,0
"Exam_3C_scores.csv",922389278,0,10,20,2.5,5
"Exam_3C_scores.csv",922760677,1,8,6,5,0
"Exam_3C_scores.csv",922342189,3,10,18,15,3
"Exam_3C_scores.csv",922477216,1,7,8,15,4
"Exam_3C_scores.csv",921041258,0,10,12,7.5,2
"Exam_3C_scores.csv",922277733,1,9,20,15,4
"Exam_3C_scores.csv",922386080,11,6,8,5,4
"Exam_3C_scores.csv",919768349,0,4,0,0,1
"Exam_3C_scores.csv",919229969,3,10,20,15,3
"Exam_3C_scores.csv",919182116,0,7,10,15,3
"Exam_3C_scores.csv",921427173,0,4,8,0,2
"Exam_3C_scores.csv",920460131,3,10,8,5,2
"Exam_3C_scores.csv",921111557,1,10,18,15,5
"Exam_3C_scores.csv",920638853,2,6,12,5,4
"Exam_3C_scores.csv",920645176,3,10,20,15,4
"Exam_3C_scores.csv",919896541,2,2,10,7.5,3
"Exam_3C_scores.csv",920573769,1,10,12,5,2
"Exam_3C_scores.csv",919563353,0,7,2,10,3
"Exam_3C_scores.csv",920526347,1,8,18,15,0
"Exam_3C_scores.csv",921180009,1,9,16,12.5,3
"Exam_3C_scores.csv",921322799,11,8,10,0,3
"Exam_3C_scores.csv",922264267,3,10,18,15,3
"Exam_3C_scores.csv",921237635,2,10,8,15,3
"Exam_3C_scores.csv",920685107,5,8,8,2.5,4
"Exam_3C_scores.csv",921920861,0,8,18,5,5
"Exam_3C_scores.csv",921793917,1,10,12,15,3
"Exam_3C_scores.csv",921673176,1,8,18,2.5,2
"Exam_3C_scores.csv",920770397,1,10,18,15,4
"Exam_3C_scores.csv",919653179,5,8,0,12.5,3
"Exam_3C_scores.csv",919428171,1,10,18,0,2
"Exam_3C_scores.csv",920724592,5,10,18,15,4
"Exam_3C_scores.csv",921169680,1,8,18,15,5
"Exam_3C_scores.csv",919562383,2,10,18,12.5,4
"Exam_3C_scores.csv",922041464,0,9,18,2.5,3
"Exam_3C_scores.csv",919336360,0,3,14,2.5,3
"Exam_3C_scores.csv",922496378,5,9,0,12.5,2
"Exam_3C_scores.csv",921094234,0,9,15,15,0
"Exam_3C_scores.csv",921923677,0,10,8,0,2
"Exam_3C_scores.csv",920976052,0,10,2,10,2
"Exam_3C_scores.csv",922651058,2,8,6,0,2
"Exam_3C_scores.csv",919215850,1,9,16,12.5,5
"Exam_3C_scores.csv",918856249,0,10,10,12.5,3
"Exam_3C_scores.csv",919649675,2,9,20,15,5
"Exam_3C_scores.csv",920841433,4,8,16,15,4
"Exam_3C_scores.csv",919393060,2,1,16,0,3
"Exam_3C_scores.csv",921014023,5,9,10,15,3
"Exam_3C_scores.csv",921253541,2,4,16,7.5,2
"Exam_3C_scores.csv",922353796,0,10,8,2.5,3
"Exam_3C_scores.csv",922202290,3,4,18,10,4
"Exam_3C_scores.csv",922550007,2,1,8,7.5,2
"Exam_3C_scores.csv",922014365,2,8,8,5,4
"Exam_3C_scores.csv",922612440,4,10,5,7.5,4
"Exam_3C_scores.csv",920894707,1,7,14,5,2
"Exam_3C_scores.csv",920004937,4,8,16,12.5,3
"Exam_3C_scores.csv",921747112,0,10,16,12.5,3
"Exam_3C_scores.csv",920866162,2,7,17,0,4
"Exam_3C_scores.csv",920223433,0,10,18,15,3
"Exam_3C_scores.csv",922661378,0,8,6,2.5,2
"Exam_3C_scores.csv",922437751,13,8,8,15,5
"Exam_3C_scores.csv",922567870,5,10,18,15,5
"Exam_3C_scores.csv",921057967,0,9,10,5,2
"Exam_3C_scores.csv",922347139,1,10,18,15,2
"Exam_3C_scores.csv",919509935,2,10,16,15,5
"Exam_3C_scores.csv",922206089,4,6,12,15,3
"Exam_3C_scores.csv",918652647,0,10,0,0,2
"Exam_3C_scores.csv",919427114,5,2,8,5,3
"Exam_3C_scores.csv",919953950,2,10,16,10,4
"Exam_3C_scores.csv",921284112,5,10,16,7.5,2
"Exam_3C_scores.csv",920499610,0,4,14,10,2
"Exam_3C_scores.csv",920501430,0,8,14,15,4
"Exam_3C_scores.csv",920964637,1,10,18,15,5
"Exam_3C_scores.csv",920596717,3,6,18,12.5,3
"Exam_3C_scores.csv",921305855,4,7,6,2.5,4
"Exam_3C_scores.csv",922143281,2,5,8,10,2
"Exam_3C_scores.csv",922513413,3,8,14,2.5,3
"Exam_3C_scores.csv",921160650,2,7,8,15,3
"Exam_3C_scores.csv",921993270,3,10,20,15,5
"Exam_3C_scores.csv",920767559,1,7,12,2.5,4
"Exam_3C_scores.csv",922380248,2,8,12,12.5,4
"Exam_3C_scores.csv",921931821,2,8,20,15,5
"Exam_3C_scores.csv",921295981,0,2,7,2.5,2
"Exam_3C_scores.csv",922390270,1,9,16,7.5,2
"Exam_3C_scores.csv",921929710,0,4,8,0,3
"Exam_3C_scores.csv",921286916,3,10,18,0,3
"Exam_3C_scores.csv",922206296,5,8,18,12.5,0
"Exam_3C_scores.csv",922068696,2,10,18,7.5,5
"Exam_3C_scores.csv",919161247,3,5,8,2.5,3
"Exam_3C_scores.csv",922198155,9,10,20,12.5,5
"Exam_3C_scores.csv",921229054,7,10,6,15,0
"Exam_3C_scores.csv",921678058,0,8,20,15,3
"Exam_3C_scores.csv",922184677,2,9,18,10,2
"Exam_3C_scores.csv",920579132,2,10,6,2.5,2
"Exam_3C_scores.csv",922475687,0,10,8,15,4
"Exam_3C_scores.csv",921356817,2,10,16,5,2
"Exam_3C_scores.csv",921972055,1,10,8,7.5,2
"Exam_3C_scores.csv",920660876,3,9,10,2.5,2
"Exam_3C_scores.csv",920645354,1,9,12,0,2
"Exam_3C_scores.csv",915162415,5,0,8,15,3
"Exam_3C_scores.csv",921943660,2,10,16,12.5,3
"Exam_3C_scores.csv",919399019,0,4,6,2.5,3
