"SID","views1","ov_op","ov_cv","external"
921726531,1,7,0,10
922513484,0,7,0,10
919505117,0,7,10,10
921826114,1,10,10,10
921161345,1,10,10,10
918851859,0,9,3.5,10
996793395,10,7.5,3.5,10
920904370,1,10,9,10
921809623,0,10,0,10
922302718,1,9,3.5,10
919487646,3,10,10,10
918645625,4,9,8.5,10
922377701,4,8,7,10
919582509,2,10,1,10
922729566,0,10,8.5,9
922388017,0,10,10,10
921991201,1,9,10,10
920978102,3,8,5.5,10
920513813,0,10,6.5,10
921057967,0,10,4.5,10
920223433,1,10,7.5,10
919284438,4,10,10,10
922401143,1,8,7.5,10
919223651,1,9,9,10
920985849,0,9,10,10
922393060,2,9,9,10
921083070,1,10,10,10
921206268,0,7,4.5,3
921813729,2,10,10,10
921788278,2,10,10,10
922547007,1,7,9,10
922254183,8,9,9,9
922219416,3,7,2.5,10
922612893,1,7,9,10
919677692,0,10,7.5,5
919150397,2,10,10,9
922110272,4,7,4,10
920940622,0,7,0,10
920968798,0,10,5.5,10
919527577,5,8,10,9
921147929,3,10,6.5,10
922509197,8,10,10,10
921942771,4,10,10,10
919716168,4,9,9,10
922151383,6,10,10,10
920672071,2,7,0,10
922232176,3,10,8.5,10
922038040,4,10,10,10
921293365,2,8,0,10
920924952,0,7,5.5,6
922712984,0,9,10,10
920460131,2,10,8.5,10
920085435,3,7,7.5,10
920966884,1,7,0,8
918553872,0,9,0,10
921246273,3,7,2.5,10
921101910,0,7,10,10
921079903,0,10,9,10
920440054,1,9,10,10
919235636,5,8,10,10
918499774,1,8,10,10
922332021,4,8,5.5,10
921887629,4,1,5.5,10
922366068,6,9,7.5,10
922217175,1,9,0,10
921916082,3,10,10,10
919987780,0,10,7.5,10
919233214,3,7,0,10
921859411,1,7,4.5,10
920829976,4,10,10,10
922090347,10,8,6.5,10
921073844,3,9,10,10
921971535,1,10,8.5,10
916566421,0,6.5,3.5,10
921936318,2,8,8.5,10
919908989,3,10,9,10
920003572,2,10,6.5,10
919948871,2,1,0,10
918029924,0,7,0,10
921108421,1,7,0,10
920919640,2,10,10,10
919695454,7,9,6.5,10
918739858,4,10,10,10
921992679,2,10,7.5,10
921939852,1,10,10,10
920876534,4,10,4.5,10
922026418,0,4.5,0,5
920810341,4,7,6.5,10
921828552,8,3,6.5,10
921993270,2,10,10,10
920879120,1,5,6.5,10
919407752,0,7,3,10
919860234,3,7,6.5,7
920964637,1,7,5.5,10
919870334,1,6,5.5,10
922588150,2,10,10,10
920504806,2,9,7.5,6
919975585,2,4,0,10
921889452,1,9,7.5,10
916864262,0,3,0,10
919927766,4,10,6.5,10
922273740,1,10,5,10
919265240,1,9,10,10
919649675,0,10,8.5,10
919215850,2,10,10,10
919997453,2,9,10,10
922711943,0,10,10,10
920976052,0,10,10,10
920680636,1,10,0,10
921094234,1,9,9,10
922041464,0,8,3,10
919562383,1,10,8,10
920724592,1,8,10,10
921169680,2,10,10,10
921910017,2,9,10,10
920818479,0,3,3,10
922201259,1,8,10,10
919653179,4,7,5.5,10
919428171,0,9,10,10
922075799,2,8,8,10
921881450,0,10,7.5,10
917993611,0,10,10,10
922567870,2,10,10,10
922347139,3,8,8.5,10
922225358,1,9,6.5,10
922437751,2,10,10,10
919905908,4,10,4.5,10
920691735,0,7,3.5,10
920866162,1,7,10,10
921747112,0,9,6.5,10
920004937,5,10,7.5,10
922613038,3,9,5.5,10
922612440,3,10,8.5,10
922353796,0,7,8,10
921320717,1,8,6.5,10
920479520,0,9,10,10
922748055,0,9,10,10
921920861,0,10,10,8
922658048,6,10,10,10
919315323,1,7,10,10
920685107,3,8,10,10
922264267,1,10,10,10
922119435,0,10,8.5,10
919563353,0,4,5.5,10
919898992,3,8,10,10
919702101,0,2,0,10
920573769,2,3,2,10
920638853,2,8,5,10
920645176,1,7.5,8.5,10
921427173,0,0,6.5,5
920624948,1,8,10,10
919229969,2,8,7.5,10
922277733,0,6.5,10,10
922513976,3,9,7.5,10
922381182,0,1.5,5.5,10
921041258,1,10,3.5,10
921881984,3,10,7.5,10
920581764,1,7,10,10
920716115,3,9,7.5,9
922566538,1,10,10,10
921451602,3,8,6.5,10
922712421,18,1,10,10
921862767,0,7,4.5,10
920542619,0,9,10,3
921850957,1,9,10,10
920071999,6,8,6.5,10
920645354,2,8,7.5,10
920579132,1,6,3,10
921356817,4,10,8.5,10
921882556,1,0,0,8
922509692,0,9,10,8
921678058,1,9,10,10
920795958,1,2,3,8
922475687,0,4.5,8.5,10
922465011,1,9,8.5,10
920055106,0,3,0,10
921943660,3,10,9,10
921012863,1,10,8.5,10
921253541,2,10,8.5,10
920432473,4,10,10,10
921014023,2,9,10,10
921353807,0,7,4,10
919393060,1,10,3.5,10
921081425,2,10,10,10
920730191,0,10,7.5,10
922048056,3,8,10,10
920643068,2,8,6.5,7
922374241,1,8,8,10
922232901,1,8,10,10
922224168,1,10,10,10
918641946,0,4,4.5,10
920779686,4,10,7.5,10
919216969,3,7,7.5,10
920548998,1,7,10,10
922371367,4,3,2.5,10
922198155,4,9,10,10
922206296,2,10,9,10
919161247,2,10,10,10
922542581,2,9,10,10
921295981,0,7,7.5,10
921929710,0,8,6.5,10
922758252,2,7,7.5,10
920931877,0,10,3.5,10
921931821,1,10,10,10
922418424,4,10,10,10
921650555,1,7,8.5,10
920767559,1,9,10,10
920516140,0,9,8.5,10
922437175,1,8,5.5,10
922143281,1,10,0,10
919279948,0,7,0,10
919875669,1,8,3,10
920596717,3,10,10,10
919195255,2,10,6.5,10
919663253,7,8,10,10
920866780,0,10,6.5,10
921939195,5,10,10,10
920501430,0,2,8.5,10
922206089,3,7,7.5,10
921890946,0,9,8.5,10
919509935,6,10,10,10
921473321,2,10,8.5,10
922075317,0,10,5.5,10
